js-framework,locator-info,locator-todo,locator-placeholder-js,locator-todo-count-js,locator-toggle-all,locator-clear-completed,locator-todo-list-items,xpath-todo-list
angularjs,class name,class name,getElementsByClassName('new-todo')[0],document.getElementsByClassName('todo-count')[0].children[0],class name,class name,document.getElementsByClassName('todo-list')[0].getElementsByTagName('li'),//ul[@class='todo-list']
backbone,class name,class name,getElementsByClassName('new-todo')[0],document.getElementsByClassName('todo-count')[0].children[0],class name,class name,document.getElementsByClassName('todo-list')[0].getElementsByTagName('li'),//ul[@class='todo-list']
emberjs,id,id,getElementById('new-todo'),document.getElementById('todo-count').children[0],id,id,document.getElementById('todo-list').getElementsByTagName('li'),//ul[@id='todo-list']
knockoutjs,id,id,getElementById('new-todo'),document.getElementById('todo-count').children[0],id,id,document.getElementById('todo-list').getElementsByTagName('li'),//ul[@id='todo-list']
dojo,id,id,getElementById('new-todo'),document.getElementById('todo-count').children[0],id,id,document.getElementById('todo-list').getElementsByTagName('li'),//ul[@id='todo-list']
knockback,class name,class name,getElementsByClassName('new-todo')[0],document.getElementsByClassName('todo-count')[0].children[0],class name,class name,document.getElementsByClassName('todo-list')[0].getElementsByTagName('li'),//ul[@class='todo-list']
canjs,id,id,getElementById('new-todo'),document.getElementById('todo-count').children[0],id,id,document.getElementById('todo-list').getElementsByTagName('li'),//ul[@id='todo-list']
polymer,id,id,getElementById('new-todo'),document.getElementById('todo-count').children[0],id,id,document.getElementById('todo-list').getElementsByTagName('li'),//ul[@id='todo-list']
react,class name,class name,getElementsByClassName('new-todo')[0],document.getElementsByClassName('todo-count')[0].children[0],class name,class name,document.getElementsByClassName('todo-list')[0].getElementsByTagName('li'),//ul[@class='todo-list']
mithril,id,id,getElementById('new-todo'),document.getElementById('todo-count').children[0],id,id,document.getElementById('todo-list').getElementsByTagName('li'),//ul[@id='todo-list']
ampersand,id,id,getElementById('new-todo'),document.getElementById('todo-count').children[0],id,id,document.getElementById('todo-list').getElementsByTagName('li'),//ul[@id='todo-list']
flight,id,id,getElementById('new-todo'),document.getElementById('todo-count').children[0],id,id,document.getElementById('todo-list').getElementsByTagName('li'),//ul[@id='todo-list']
vue,class name,class name,getElementsByClassName('new-todo')[0],document.getElementsByClassName('todo-count')[0].children[0],class name,class name,document.getElementsByClassName('todo-list')[0].getElementsByTagName('li'),//ul[@class='todo-list']
backbone_marionette,id,id,getElementById('new-todo'),document.getElementById('todo-count').children[0],id,id,document.getElementById('todo-list').getElementsByTagName('li'),//ul[@id='todo-list']
troopjs_require,class name,class name,getElementsByClassName('new-todo')[0],document.getElementsByClassName('todo-count')[0].children[0],class name,class name,document.getElementsByClassName('todo-list')[0].getElementsByTagName('li'),//ul[@class='todo-list']
vanillajs,class name,class name,getElementsByClassName('new-todo')[0],document.getElementsByClassName('todo-count')[0].children[0],class name,class name,document.getElementsByClassName('todo-list')[0].getElementsByTagName('li'),//ul[@class='todo-list']
vanilla-es6,class name,class name,getElementsByClassName('new-todo')[0],document.getElementsByClassName('todo-count')[0],class name,class name,document.getElementsByClassName('todo-list')[0].getElementsByTagName('li'),//ul[@class='todo-list']
jquery,id,id,getElementById('new-todo'),document.getElementById('todo-count').children[0],id,id,document.getElementById('todo-list').getElementsByTagName('li'),//ul[@id='todo-list']
spine,id,id,getElementById('new-todo'),document.getElementById('todo-count').children[0],id,id,document.getElementById('todo-list').getElementsByTagName('li'),//ul[@id='todo-list']
vanilladart/build/web,class name,class name,getElementsByClassName('new-todo')[0],document.getElementsByClassName('todo-count')[0].children[0],class name,class name,document.getElementsByClassName('todo-list')[0].getElementsByTagName('li'),//ul[@class='todo-list']
gwt,id,id,getElementById('new-todo'),document.getElementById('todo-count').children[0],id,id,document.getElementById('todo-list').getElementsByClassName('listItem'),//div[@id='todo-list']
closure,id,id,getElementById('new-todo'),document.getElementById('todo-count').children[0],id,id,document.getElementById('todo-list').getElementsByTagName('li'),//ul[@id='todo-list']
elm,class name,class name,getElementsByClassName('new-todo')[0],document.getElementsByClassName('todo-count')[0].children[0],class name,class name,document.getElementsByClassName('todo-list')[0].getElementsByTagName('li'),//ul[@class='todo-list']
angular-dart/web,id,id,getElementById('new-todo'),document.getElementById('todo-count').children[0],id,id,document.getElementById('todo-list').getElementsByTagName('li'),//ul[@id='todo-list']
typescript-backbone,class name,class name,getElementsByClassName('new-todo')[0],document.getElementsByClassName('todo-count')[0].children[0],class name,class name,document.getElementsByClassName('todo-list')[0].getElementsByTagName('li'),//ul[@class='todo-list']
typescript-angular,class name,class name,getElementsByClassName('new-todo')[0],document.getElementsByClassName('todo-count')[0].children[0],class name,class name,document.getElementsByClassName('todo-list')[0].getElementsByTagName('li'),//ul[@class='todo-list']
typescript-react,class name,class name,getElementsByClassName('new-todo')[0],document.getElementsByClassName('todo-count')[0].children[0],class name,class name,document.getElementsByClassName('todo-list')[0].getElementsByTagName('li'),//ul[@class='todo-list']
serenadejs,id,id,getElementById('new-todo'),document.getElementById('todo-count').children[0],id,id,document.getElementById('todo-list').getElementsByTagName('li'),//ul[@id='todo-list']
reagent,id,id,getElementById('new-todo'),document.getElementById('todo-count').children[0],id,id,document.getElementById('todo-list').getElementsByTagName('li'),//ul[@id='todo-list']
scalajs-react,class name,class name,getElementsByClassName('new-todo')[0],document.getElementsByClassName('todo-count')[0].children[0],class name,class name,document.getElementsByClassName('todo-list')[0].getElementsByTagName('li'),//ul[@class='todo-list']
binding-scala,class name,class name,getElementsByClassName('new-todo')[0],document.getElementsByClassName('todo-count')[0].children[0],class name,class name,document.getElementsByClassName('todo-list')[0].getElementsByTagName('li'),//ul[@class='todo-list']
js_of_ocaml,class name,class name,getElementsByClassName('new-todo')[0],document.getElementsByClassName('todo-count')[0].children[0],class name,class name,document.getElementsByClassName('todo-list')[0].getElementsByTagName('li'),//ul[@class='todo-list']
humble,class name,class name,getElementsByClassName('new-todo')[0],document.getElementsByClassName('todo-count')[0].children[0],class name,class name,document.getElementsByClassName('todo-list')[0].getElementsByTagName('li'),//ul[@class='todo-list']